word,SI,RS,PSD
band,0.013768116154638084,0.020895155,0.016956389
chest,0.020043973099367805,0.021091012,0.008321592
racket,0.027791536647826652,0.030695528,0.0012175932
seal,0.022537585467083517,0.021352775,0.0037844616
staple,0.0003596256287246649,0.020063208,0.0042036604
tank,0.011577274238311008,0.018135302,0.011303184
temple,0.017120138881215406,0.020642739,-0.0004210556
tissue,0.00986140082041416,0.020196779,0.0019164731
trunk,0.009511227099723366,0.024508603,-0.00597182
yard,0.012537898694440913,0.023333788,-0.0018515596
