layer_1,layer_2,W,p_raw,p_holm,significant
4,8,2.0,0.005859375,0.10546875,False
4,12,0.0,0.001953125,0.0546875,False
4,16,0.0,0.001953125,0.0546875,False
4,20,0.0,0.001953125,0.0546875,False
4,24,0.0,0.001953125,0.0546875,False
4,28,0.0,0.001953125,0.0546875,False
4,32,0.0,0.001953125,0.0546875,False
8,12,6.0,0.02734375,0.41015625,False
8,16,0.0,0.001953125,0.0546875,False
8,20,0.0,0.001953125,0.0546875,False
8,24,4.0,0.013671875,0.21875,False
8,28,13.0,0.16015625,1.0,False
8,32,3.0,0.009765625,0.166015625,False
12,16,0.0,0.001953125,0.0546875,False
12,20,1.0,0.00390625,0.07421875,False
12,24,12.0,0.130859375,1.0,False
12,28,19.0,0.431640625,1.0,False
12,32,8.0,0.048828125,0.634765625,False
16,20,7.0,0.037109375,0.51953125,False
16,24,20.0,0.4921875,1.0,False
16,28,19.0,0.431640625,1.0,False
16,32,16.0,0.275390625,1.0,False
20,24,11.0,0.10546875,1.0,False
20,28,10.0,0.083984375,0.923828125,False
20,32,20.0,0.4921875,1.0,False
24,28,11.0,0.10546875,1.0,False
24,32,13.0,0.16015625,1.0,False
28,32,8.0,0.048828125,0.634765625,False
